year,round,driver,constructor,circuit,location,country,date,position,grid,qualifying_position,dnf,pit_stops,temperature,humidity,wind_speed,precipitation,driver_podiums,constructor_podiums,driver_wins,constructor_wins
2000,1,Ricardo Zonta,BAR,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,6,16,-1,False,0,21.9,,,0.0,0,2,0,0
2000,1,Jacques Villeneuve,BAR,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,4,8,-1,False,0,21.9,,,0.0,23,2,11,0
2000,1,Alexander Wurz,Benetton,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,7,14,-1,False,0,21.9,,,0.0,3,12,0,1
2000,1,Giancarlo Fisichella,Benetton,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,5,9,-1,False,0,21.9,,,0.0,9,12,0,1
2000,1,Gastón Mazzacane,Minardi,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,13,22,-1,True,0,21.9,,,0.0,0,0,0,0
2000,1,Marc Gené,Minardi,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,8,18,-1,True,0,21.9,,,0.0,0,0,0,0
2000,1,Ralf Schumacher,Williams,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,3,11,-1,False,0,21.9,,,0.0,0,24,0,9
2000,1,Nick Heidfeld,Prost,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,9,15,-1,True,0,21.9,,,0.0,4,3,0,0
2000,1,Jenson Button,Williams,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,11,21,-1,True,0,21.9,,,0.0,12,24,0,9
2000,1,Jarno Trulli,Jordan,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,15,6,-1,True,0,21.9,,,0.0,1,1,0,0
2000,1,Heinz-Harald Frentzen,Jordan,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,14,5,-1,True,0,21.9,,,0.0,16,1,3,0
2000,1,Rubens Barrichello,Ferrari,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,2,4,-1,False,0,21.9,,,0.0,3,36,0,11
2000,1,Michael Schumacher,Ferrari,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,1,3,-1,False,0,21.9,,,0.0,0,36,0,11
2000,1,Mika Salo,Sauber,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,10,10,-1,True,0,21.9,,,0.0,2,1,0,0
2000,1,Jean Alesi,Prost,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,16,17,-1,True,0,21.9,,,0.0,18,3,1,0
2000,1,Pedro Diniz,Sauber,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,12,19,-1,True,0,21.9,,,0.0,0,1,0,0
2000,2,Michael Schumacher,Ferrari,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,1,3,-1,False,0,21.2,,10.0,0.0,0,36,0,11
2000,2,Ralf Schumacher,Williams,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,5,11,-1,True,0,21.2,,10.0,0.0,0,24,0,9
2000,2,Ricardo Zonta,BAR,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,9,8,-1,True,0,21.2,,10.0,0.0,0,2,0,0
2000,2,Heinz-Harald Frentzen,Jordan,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,3,7,-1,False,0,21.2,,10.0,0.0,16,1,3,0
2000,2,Gastón Mazzacane,Minardi,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,10,20,-1,True,0,21.2,,10.0,0.0,0,0,0,0
2000,2,Jarno Trulli,Jordan,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,4,12,-1,False,0,21.2,,10.0,0.0,1,1,0,0
2000,2,Giancarlo Fisichella,Benetton,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,2,5,-1,False,0,21.2,,10.0,0.0,9,12,0,1
2000,2,Jenson Button,Williams,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,6,9,-1,True,0,21.2,,10.0,0.0,12,24,0,9
2000,2,Marc Gené,Minardi,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,13,18,-1,True,0,21.2,,10.0,0.0,0,0,0,0
2000,2,Rubens Barrichello,Ferrari,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,15,4,-1,True,0,21.2,,10.0,0.0,3,36,0,11
2000,2,Jos Verstappen,Arrows,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,7,14,-1,True,0,21.2,,10.0,0.0,2,4,0,0
2000,1,Jos Verstappen,Arrows,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,18,13,-1,True,0,21.9,,,0.0,2,4,0,0
2000,1,Pedro de la Rosa,Arrows,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,20,12,-1,True,0,21.9,,,0.0,0,4,0,0
2000,2,Pedro de la Rosa,Arrows,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,8,16,-1,True,0,21.2,,10.0,0.0,0,4,0,0
2000,2,Johnny Herbert,Jaguar,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,12,17,-1,True,0,21.2,,10.0,0.0,5,2,2,0
2000,2,Eddie Irvine,Jaguar,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,16,6,-1,True,0,21.2,,10.0,0.0,24,2,4,0
2000,1,Johnny Herbert,Jaguar,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,22,20,-1,True,0,21.9,,,0.0,5,2,2,0
2000,2,Jean Alesi,Prost,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,18,15,-1,True,0,21.2,,10.0,0.0,18,3,1,0
2000,1,Eddie Irvine,Jaguar,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,21,7,-1,True,0,21.9,,,0.0,24,2,4,0
2000,1,David Coulthard,McLaren,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,19,2,-1,True,0,21.9,,,0.0,37,24,9,6
2000,2,Jacques Villeneuve,BAR,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,17,10,-1,True,0,21.2,,10.0,0.0,23,2,11,0
2000,1,Mika Häkkinen,McLaren,Albert Park Grand Prix Circuit,Melbourne,Australia,2000-03-12,17,1,-1,True,0,21.9,,,0.0,17,24,2,6
2000,2,David Coulthard,McLaren,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,11,2,-1,True,0,21.2,,10.0,0.0,37,24,9,6
2000,2,Mika Häkkinen,McLaren,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,14,1,-1,True,0,21.2,,10.0,0.0,17,24,2,6
2000,2,Nick Heidfeld,Prost,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,19,19,-1,True,0,21.2,,10.0,0.0,4,3,0,0
2000,2,Alexander Wurz,Benetton,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,20,13,-1,True,0,21.2,,10.0,0.0,3,12,0,1
2000,2,Pedro Diniz,Sauber,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,21,0,-1,True,0,21.2,,10.0,0.0,0,1,0,0
2000,3,Mika Häkkinen,McLaren,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,2,1,-1,False,0,,,,,17,24,2,6
2000,3,Ricardo Zonta,BAR,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,12,14,-1,True,0,,,,,0,2,0,0
2000,3,David Coulthard,McLaren,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,3,3,-1,False,0,,,,,37,24,9,6
2000,3,Alexander Wurz,Benetton,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,9,11,-1,True,0,,,,,3,12,0,1
2000,3,Pedro Diniz,Sauber,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,8,10,-1,True,0,,,,,0,1,0,0
2000,3,Jacques Villeneuve,BAR,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,5,9,-1,True,0,,,,,23,2,11,0
2000,2,Mika Salo,Sauber,Autódromo José Carlos Pace,São Paulo,Brazil,2000-03-26,22,0,-1,True,0,21.2,,10.0,0.0,2,1,0,0
2000,3,Michael Schumacher,Ferrari,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,1,2,-1,False,0,,,,,0,36,0,11
2000,3,Johnny Herbert,Jaguar,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,10,17,-1,True,0,,,,,5,2,2,0
2000,3,Gastón Mazzacane,Minardi,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,13,20,-1,True,0,,,,,0,0,0,0
2000,3,Eddie Irvine,Jaguar,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,7,7,-1,True,0,,,,,24,2,4,0
2000,3,Jos Verstappen,Arrows,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,14,16,-1,True,0,,,,,2,4,0,0
2000,3,Rubens Barrichello,Ferrari,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,4,4,-1,False,0,,,,,3,36,0,11
2000,3,Pedro de la Rosa,Arrows,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,16,13,-1,True,0,,,,,0,4,0,0
2000,3,Giancarlo Fisichella,Benetton,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,11,19,-1,True,0,,,,,9,12,0,1
2000,3,Mika Salo,Sauber,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,6,12,-1,True,0,,,,,2,1,0,0
2000,3,Jarno Trulli,Jordan,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,15,8,-1,True,0,,,,,1,1,0,0
2000,3,Marc Gené,Minardi,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,21,21,-1,True,0,,,,,0,0,0,0
2000,3,Jean Alesi,Prost,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,18,15,-1,True,0,,,,,18,3,1,0
2000,3,Jenson Button,Williams,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,20,18,-1,True,0,,,,,12,24,0,9
2000,3,Nick Heidfeld,Prost,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,19,22,-1,True,0,,,,,4,3,0,0
2000,3,Heinz-Harald Frentzen,Jordan,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,22,6,-1,True,0,,,,,16,1,3,0
2000,4,Michael Schumacher,Ferrari,Silverstone Circuit,Silverstone,UK,2000-04-23,3,5,-1,False,0,,,,,0,36,0,11
2000,4,Ralf Schumacher,Williams,Silverstone Circuit,Silverstone,UK,2000-04-23,4,7,-1,False,0,,,,,0,24,0,9
2000,3,Ralf Schumacher,Williams,Autodromo Enzo e Dino Ferrari,Imola,Italy,2000-04-09,17,5,-1,True,0,,,,,0,24,0,9
2000,4,Mika Häkkinen,McLaren,Silverstone Circuit,Silverstone,UK,2000-04-23,2,3,-1,False,0,,,,,17,24,2,6
2000,4,Jenson Button,Williams,Silverstone Circuit,Silverstone,UK,2000-04-23,5,6,-1,False,0,,,,,12,24,0,9
