iter	Logloss
0	0.5948769887
1	0.517893823
2	0.4546056112
3	0.4068787575
4	0.3666242599
5	0.3345735232
6	0.3119865417
7	0.2914895376
8	0.2745859782
9	0.2616763115
10	0.2487705866
11	0.2394206047
12	0.2323022842
13	0.2259990215
14	0.2194203059
15	0.2142703692
16	0.2096075376
17	0.2058534622
18	0.2017765522
19	0.1993796666
20	0.1964191119
21	0.1946062088
22	0.1920430024
23	0.189895757
24	0.1882510344
25	0.1869912465
26	0.1854415417
27	0.1842302958
28	0.1830638885
29	0.1821490447
30	0.1812595685
31	0.1805848757
32	0.179627196
33	0.1788663705
34	0.1781709035
35	0.1773633957
36	0.1767394225
37	0.1761551539
38	0.1753300985
39	0.1745694796
40	0.17348423
41	0.1729592959
42	0.1724474112
43	0.1719413916
44	0.171499602
45	0.1708783468
46	0.1705042839
47	0.1698708852
48	0.1695624352
49	0.1691040834
50	0.1686594009
51	0.1680490812
52	0.1677511851
53	0.1672659397
54	0.1666478157
55	0.1663100243
56	0.1657888095
57	0.1652941704
58	0.1649424712
59	0.1646829923
60	0.1645103772
61	0.1642341932
62	0.1636552811
63	0.163118124
64	0.162792174
65	0.1625410398
66	0.1619442622
67	0.1618456841
68	0.1616245588
69	0.1613623142
70	0.1612039248
71	0.1610111396
72	0.160700957
73	0.1601404667
74	0.1598328431
75	0.1594883442
76	0.1591534932
77	0.1588816961
78	0.1586154302
79	0.1582244714
80	0.1580236912
81	0.1577997367
82	0.1576660792
83	0.1573439757
84	0.1571830908
85	0.1569522063
86	0.1565854867
87	0.1563715935
88	0.1561063766
89	0.1558073997
90	0.1555710157
91	0.1551497459
92	0.1547605356
93	0.1544775645
94	0.1543718338
95	0.1540960312
96	0.1536974748
97	0.1535228411
98	0.1531750997
99	0.1531022708
100	0.1529705048
101	0.1528406143
102	0.1525963942
103	0.1523354848
104	0.1521197637
105	0.1518943469
106	0.151694266
107	0.1514036338
108	0.1511891683
109	0.150849692
110	0.1505914688
111	0.1501502514
112	0.149931701
113	0.1498867353
114	0.1497502963
115	0.1496303558
116	0.1494093577
117	0.1493802547
118	0.1491659005
119	0.1489605268
120	0.148660628
121	0.1484961192
122	0.1483702977
123	0.1481058439
124	0.1479810238
125	0.1478088061
126	0.1475747108
127	0.1474440257
128	0.1471072833
129	0.1469577154
130	0.1467026552
131	0.1465491295
132	0.1464313189
133	0.1463984013
134	0.1462973913
135	0.1461807569
136	0.1460044225
137	0.1457544963
138	0.1455459913
139	0.1454161962
140	0.1452123483
141	0.1450227102
142	0.1448895772
143	0.1447893143
144	0.1444756349
145	0.1444150289
146	0.1442672412
147	0.1440584342
148	0.1438300451
149	0.1436718146
150	0.1434900284
151	0.1431514104
152	0.1429285049
153	0.1427868843
154	0.1425631523
155	0.1423685074
156	0.1421470642
157	0.1419330438
158	0.1418365479
159	0.1417430242
160	0.1416250547
161	0.1414186478
162	0.1413139343
163	0.1411140601
164	0.1409704844
165	0.1408406576
166	0.1406776746
167	0.1406373978
168	0.1403292179
169	0.1402325789
170	0.1401154836
171	0.1399436156
172	0.1398176511
173	0.1396862825
174	0.1394368807
175	0.1392388503
176	0.1389697393
177	0.1389510155
178	0.1386703968
179	0.1385193507
180	0.1383135001
181	0.1380890846
182	0.1378427505
183	0.1376061757
184	0.1374201139
185	0.1372796694
186	0.1370660464
187	0.1368908405
188	0.1366676172
189	0.1364405632
190	0.1361788432
191	0.1360902468
192	0.1359575589
193	0.1358380953
194	0.1356915474
195	0.135418129
196	0.1352825483
