iter	Passed	Remaining
0	159	159164
1	164	82085
2	168	55855
3	170	42529
4	173	34491
5	175	29126
6	178	25359
7	181	22551
8	185	20438
9	188	18673
10	191	17232
11	194	16037
12	197	14993
13	200	14090
14	202	13305
15	205	12609
16	207	12010
17	210	11470
18	212	10989
19	215	10560
20	218	10170
21	220	9815
22	223	9499
23	226	9201
24	229	8933
25	231	8672
26	234	8441
27	237	8243
28	240	8038
29	242	7851
30	245	7676
31	248	7510
32	251	7359
33	254	7220
34	257	7085
35	259	6953
36	262	6829
37	265	6710
38	267	6599
39	270	6490
40	273	6391
41	276	6295
42	278	6206
43	281	6125
44	284	6047
45	288	5972
46	291	5903
47	294	5835
48	297	5770
49	300	5707
50	303	5647
51	306	5589
52	309	5532
53	312	5479
54	315	5428
55	319	5378
56	322	5330
57	325	5282
58	328	5236
59	331	5193
60	334	5150
61	338	5113
62	341	5074
63	344	5036
64	347	4998
65	350	4961
66	353	4925
67	356	4883
68	359	4850
69	362	4817
70	365	4784
71	368	4752
72	371	4722
73	374	4692
74	377	4661
75	381	4633
76	384	4605
77	387	4577
78	390	4550
79	393	4522
80	396	4496
81	399	4471
82	402	4448
83	405	4423
84	408	4400
85	411	4377
86	415	4356
87	418	4334
88	421	4312
89	424	4291
90	427	4271
91	430	4251
92	434	4233
93	437	4215
94	440	4196
95	443	4179
96	447	4163
97	450	4147
98	453	4131
99	457	4115
100	460	4101
101	464	4086
102	467	4072
103	470	4057
104	475	4056
105	479	4044
106	485	4049
107	488	4036
108	491	4021
109	495	4006
110	498	3992
111	501	3977
112	504	3963
113	507	3944
114	511	3932
115	514	3921
116	517	3908
117	520	3891
118	524	3880
119	527	3869
120	531	3858
121	534	3846
122	537	3834
123	541	3823
124	544	3813
125	548	3801
126	551	3789
127	554	3779
128	558	3769
129	561	3760
130	565	3750
131	568	3740
132	572	3731
133	575	3716
134	578	3708
135	582	3700
136	586	3695
137	590	3687
138	594	3682
139	598	3675
140	602	3668
141	605	3659
142	609	3650
143	612	3643
144	616	3633
145	620	3628
146	623	3620
147	627	3611
148	630	3603
149	634	3594
150	637	3585
151	641	3577
152	644	3569
153	648	3562
154	652	3554
155	655	3546
156	659	3540
157	662	3531
158	666	3523
159	669	3515
160	673	3507
161	676	3500
162	680	3493
163	683	3484
164	686	3475
165	690	3467
166	693	3459
167	696	3449
168	700	3442
169	703	3434
170	706	3426
171	710	3418
172	713	3409
173	716	3401
174	719	3393
175	723	3384
176	726	3376
177	728	3365
178	731	3357
179	735	3348
180	738	3340
181	741	3332
182	744	3324
183	747	3316
184	752	3313
185	755	3306
186	759	3301
187	762	3294
188	765	3286
189	769	3279
190	772	3272
191	775	3265
192	779	3257
193	782	3250
194	785	3243
195	788	3236
196	792	3228
